Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.174.128-224.0.0.252-60341-5355-17,192.168.174.128,60341,224.0.0.252,5355,17,25/05/2022 07:23:44 PM,413461,1,1,24,24,24,24,24,0,24,24,24,0,116.0931744,4.837215602,413461,0,413461,413461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.418607801,2.418607801,24,24,24,0,0,0,0,0,0,0,0,0,0,1,36,24,24,0,0,0,0,0,0,1,24,1,24,-1,-1,1,0,0,0,0,0,0,0,0,0,Malicious
192.168.174.128-192.168.174.130-6522-49249-6,192.168.174.130,49249,192.168.174.128,6522,6,25/05/2022 07:28:37 PM,1015462,2,4,0,0,0,0,0,0,0,0,0,0,0,5.908640599,203092.4,277313.7274,514303,441,499854,499854,0,499854,499854,1015462,338487.3333,292847.9992,514822,441,0,0,0,0,60,92,1.969546866,3.939093733,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,Malicious
192.168.174.130-192.168.174.1-61491-53-17,192.168.174.130,61491,192.168.174.1,53,17,25/05/2022 07:28:02 PM,7998410,4,1,148,37,37,37,37,0,37,37,37,0,23.12959701,0.625124243,1999602.5,1414857.18,4000289,998342,7000068,2333356,1527868.734,4000289,999506,0,0,0,0,0,0,0,0,0,32,8,0.500099395,0.125024849,37,37,37,0,0,0,0,0,0,0,0,0,0,0,44.4,37,37,0,0,0,0,0,0,4,148,1,37,-1,-1,4,0,0,0,0,0,0,0,0,0,Malicious
192.168.174.130-192.168.174.1-54865-53-17,192.168.174.130,54865,192.168.174.1,53,17,25/05/2022 07:09:32 PM,8000310,4,1,128,32,32,32,32,0,32,32,32,0,19.99922503,0.624975782,2000077.5,1414161.275,4000150,1000070,7000240,2333413.333,1527449.345,4000150,1000452,0,0,0,0,0,0,0,0,0,32,8,0.499980626,0.124995156,32,32,32,0,0,0,0,0,0,0,0,0,0,0,38.4,32,32,0,0,0,0,0,0,4,128,1,32,-1,-1,4,0,0,0,0,0,0,0,0,0,Malicious
192.168.174.128-192.168.174.130-6522-49301-6,192.168.174.130,49301,192.168.174.128,6522,6,25/05/2022 07:33:04 PM,9045023,5,8,361,2,200,0,72.2,87.89880545,2,0,0.25,0.707106781,40.13256793,1.437254499,753751.9167,1777097.125,5920374,61,6483370,1620842.5,2906102.57,5969580,10767,9045023,1292146.143,2232595.166,5920374,653,0,0,0,0,100,184,0.552790192,0.884464307,0,200,25.92857143,60.48580798,3658.532967,0,1,0,0,0,0,0,0,1,27.92307692,72.2,0.25,0,0,0,0,0,0,5,361,8,2,-1,0,4,0,108911,0,108911,108911,5920374,0,5920374,5920374,Malicious
192.168.174.130-192.168.174.1-58906-53-17,192.168.174.130,58906,192.168.174.1,53,17,25/05/2022 07:09:17 PM,8000487,4,1,164,41,41,41,41,0,41,41,41,0,25.62344017,0.624961955,2000121.75,1414612.617,4000685,999625,7000435,2333478.333,1528048.957,4000685,999625,0,0,0,0,0,0,0,0,0,32,8,0.499969564,0.124992391,41,41,41,0,0,0,0,0,0,0,0,0,0,0,49.2,41,41,0,0,0,0,0,0,4,164,1,41,-1,-1,4,0,0,0,0,0,0,0,0,0,Malicious
192.168.174.128-192.168.174.130-6522-49282-6,192.168.174.130,49282,192.168.174.128,6522,6,25/05/2022 07:30:50 PM,999785,2,4,0,0,0,0,0,0,0,0,0,0,0,6.001290277,199957,273162.058,499917,380,500297,500297,0,500297,500297,999785,333261.6667,288243.6186,500513,428,0,0,0,0,60,92,2.000430092,4.000860185,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,Malicious
192.168.174.130-192.168.174.1-53559-53-17,192.168.174.130,53559,192.168.174.1,53,17,25/05/2022 07:13:08 PM,7998454,4,1,172,43,43,43,43,0,43,43,43,0,26.8801946,0.625120805,1999613.5,1414460.228,3999838,998123,7000331,2333443.667,1527216.79,3999838,1000508,0,0,0,0,0,0,0,0,0,32,8,0.500096644,0.125024161,43,43,43,0,0,0,0,0,0,0,0,0,0,0,51.6,43,43,0,0,0,0,0,0,4,172,1,43,-1,-1,4,0,0,0,0,0,0,0,0,0,Malicious
192.168.174.130-192.168.174.1-56175-53-17,192.168.174.130,56175,192.168.174.1,53,17,25/05/2022 07:08:07 PM,3025541,2,1,68,34,34,34,34,0,34,34,34,0,33.71297894,0.991558204,1512770.5,703850.5545,2010468,1015073,2010468,2010468,0,2010468,2010468,0,0,0,0,0,0,0,0,0,16,8,0.661038803,0.330519401,34,34,34,0,0,0,0,0,0,0,0,0,0,0,45.33333333,34,34,0,0,0,0,0,0,2,68,1,34,-1,-1,2,0,0,0,0,0,0,0,0,0,Malicious
192.168.174.130-192.168.174.1-63453-53-17,192.168.174.130,63453,192.168.174.1,53,17,25/05/2022 07:19:15 PM,7995742,4,1,164,41,41,41,41,0,41,41,41,0,25.63864617,0.625332833,1998935.5,1415340.531,4000254,995060,7000682,2333560.667,1527396.22,4000254,1000675,0,0,0,0,0,0,0,0,0,32,8,0.500266267,0.125066567,41,41,41,0,0,0,0,0,0,0,0,0,0,0,49.2,41,41,0,0,0,0,0,0,4,164,1,41,-1,-1,4,0,0,0,0,0,0,0,0,0,Malicious
